cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval
KIDNEY loop of henle cells,45,53,17,KIDNEY - cells in tubules,45,0.00149925,0.110944528,KIDNEY - cells in tubules,45,0.00149925,0.110944528
BRAIN neurons,45,200,82,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.045977011,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.045977011
IMMUNE SYSTEM megakaryocytes,44.88,48,27.83333333,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926
IMMUNE SYSTEM dendritic cells,44.25,121,74.83333333,LYMPH NODE - non-germinal center cells,44.25,0.00049975,0.036981509,LYMPH NODE - non-germinal center cells,44.25,0.00049975,0.036981509
IMMUNE SYSTEM plasma cells,44,67,38.5,TONSIL - non-germinal center cells,44,0.00049975,0.04047976,TONSIL - non-germinal center cells,44,0.00049975,0.04047976
BRAIN retinal ganglion cells,43.5,68,16.83333333,CEREBELLUM - Purkinje cells,43.5,0.030984508,1,CEREBELLUM - Purkinje cells,43.5,0.030984508,1
CONNECTIVE TISSUE fibroblasts,42.57,43,23,PLACENTA - decidual cells,49.5,1,1,SOFT TISSUE - fibroblasts,33.5,1,1
KIDNEY principal cells,41.79,42,23,KIDNEY - cells in tubules,49.75,0.00049975,0.036981509,KIDNEY - cells in tubules,49.75,0.00049975,0.036981509
BRAIN cajal-retzius cells,41.75,77,24,CEREBRAL CORTEX - neuronal cells,41.75,0.00049975,0.037981009,CEREBRAL CORTEX - neuronal cells,41.75,0.00049975,0.037981009
PANCREAS ductal cells,41.71,43,36,GALLBLADDER - glandular cells,48.5,0.00049975,0.036981509,PANCREAS - exocrine glandular cells,33.75,0.00049975,0.036981509
EPITHELIUM mesothelial cells,40.5,52,23.16666667,FALLOPIAN TUBE - glandular cells,40.5,0.013993003,0.993503248,tissue not found,NA,NA,NA
SKELETAL MUSCLE myoblasts,39.6,33,9.833333333,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509
ZYGOTE embryonic stem cells,39,83,39.66666667,NASOPHARYNX - respiratory epithelial cells,39,0.612693653,1,tissue not found,NA,NA,NA
BRAIN purkinje neurons,39,59,32.5,CAUDATE - neuronal cells,39,0.00049975,0.042978511,CAUDATE - neuronal cells,39,0.00049975,0.042978511
MAMMARY GLAND mammary epithelial cells,38.7,43,28,SALIVARY GLAND - glandular cells,45,0.283858071,1,BREAST - glandular cells,39,0.008495752,0.637181409
REPRODUCTIVE leydig cells,36.75,54,16,ADRENAL GLAND - glandular cells,36.75,0.00049975,0.044977511,OVARY - follicle cells,4.5,0.335332334,1
VASCULATURE endothelial cells,36.5,185,70.66666667,COLON - endothelial cells,36.5,0.00049975,0.03898051,tissue not found,NA,NA,NA
BRAIN interneurons,36.25,216,84.83333333,CEREBRAL CORTEX - neuronal cells,36.25,0.00049975,0.049975012,CEREBRAL CORTEX - neuronal cells,36.25,0.00049975,0.049975012
EYE photoreceptor cells,36,53,20.33333333,RETINA - cells in photoreceptor layer ,36,1,1,RETINA - cells in photoreceptor layer ,36,1,1
KIDNEY transient cells,35.64,22,8,KIDNEY - cells in tubules,81,0.205897051,1,KIDNEY - cells in tubules,81,0.205897051,1
BONE hematopoietic stem cells,35.5,88,39.83333333,KIDNEY - cells in tubules,35.5,0.703648176,1,BONE MARROW - hematopoietic cells,34.25,0.00049975,0.037481259
BRAIN anterior pituitary gland cells,35.31,33,13.16666667,PITUITARY GLAND - cells in anterior ,53.5,1,1,PITUITARY GLAND - cells in anterior ,53.5,1,1
PANCREAS alpha cells,34.8,48,19.83333333,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761
SKELETAL MUSCLE satellite cells,34.615,43,19,NASOPHARYNX - respiratory epithelial cells,40.25,1,1,SKELETAL MUSCLE - myocytes,27,0.066466767,1
VASCULATURE endothelial cells (aorta),34.25,89,23,PLACENTA - trophoblastic cells,34.25,0.029485257,1,COLON - endothelial cells,33.5,0.094952524,1
